State,affected,active,recovered,death
India,43452164,104555,42822493,525116
Andaman and Nicobar Islands,10157,42,9986,129
Andhra Pradesh,2321379,755,2305893,14731
Arunachal Pradesh,64518,4,64218,296
Assam,724788,395,716405,7988
Bihar,832581,934,819388,12259
Chandigarh,93785,568,92052,1165
Chhattisgarh,1154179,861,1139282,14036
Dadra and Nagar Haveli and Daman and Diu,11474,14,11456,4
Delhi,1934009,4325,1903423,26261
Goa,248540,982,243720,3838
Gujarat,1231483,2914,1217623,10946
Haryana,1015501,2655,1002222,10624
Himachal Pradesh,286061,507,281413,4141
Jammu and Kashmir,455006,447,449803,4756
Jharkhand,435858,284,430254,5320
Karnataka,3968365,5707,3922541,40117
Kerala,6634722,28860,6535869,69993
Ladakh,28411,78,28105,228
Lakshadweep,11408,3,11353,52
Madhya Pradesh,1044243,490,1033012,10741
Maharashtra,7972474,25735,7798817,147922
Manipur,137266,18,135128,2120
Meghalaya,93947,65,92288,1594
Mizoram,229048,261,228084,703
Nagaland,35507,2,34744,761
Odisha,1289602,627,1279849,9126
Puducherry,166438,304,164172,1962
Punjab,762755,1079,743903,17773
Rajasthan,1288328,939,1277825,9564
Sikkim,39224,26,38744,454
Tamil Nadu,3473116,10033,3425057,38026
Telangana,800476,4421,791944,4111
Tripura,100901,7,99971,923
Uttar Pradesh,2090050,3541,2062971,23538
Uttarakhand,438663,787,430180,7696
West Bengal,2027901,5885,2000798,21218
